Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3.7V 1000mAh Li-Pol Battery","Its purpose is to power low-current electronics",1,5.82,"https://aliexpress.ru/item/1005003380188983.html?sku_id=12000032368701980&spm=a2g2w.productlist.search_results.0.7baf71100S9AxO","Aliexpress"
"10 V 2200 µF Capacitor","its a capacitor",1,1.91,"https://aliexpress.ru/item/1005011631970768.html?sku_id=12000056427936721&spm=a2g2w.productlist.search_results.2.10a414f4iK7Q4Y","Aliexpress"
"LM2596 3V-40V to 1.5V-35V Step-Down Converter Module","To regulate the voltage and current",1,0.50,"https://aliexpress.ru/item/1005011787585923.html?sku_id=12000056552345476&spm=a2g2w.productlist.search_results.1.2bab691dHczbmi","Aliexpress"
"Protoboard","The protoboard will be used to connect and organize the robot’s electronic components. It will provide a stable base for wiring the OLED display, sensors, and other modules during development and testing.",1,2.18,"https://aliexpress.ru/item/1005012158303665.html?sku_id=12000057666044291&spm=a2g2w.productlist.search_results.6.585e22fbyNNOCV","Aliexpress"
"OLED display module ","The OLED display module will be used as the robot’s dynamic face. It will show changing expressions, status indicators, and simple visual feedback, making the robot more interactive and expressive.",1,1.30,"https://aliexpress.ru/item/1005004860363043.html?sku_id=12000043386368896&spm=a2g2w.productlist.search_results.3.2336515365HacT","Aliexpress"
"ESP32-S3 Dual Type-C Development Board","To control all servos via bluetooth",1,3.42,"https://aliexpress.ru/item/1005006737960797.html?sku_id=12000038137904831&spm=a2g2w.productlist.search_results.12.2dd54037b9g1wO","Aliexpress"
"Standart Servo MG996R","To move his little legs",4,14.01,"https://aliexpress.ru/item/32995892007.html?spm=a2g2w.cart.cart_split.2.5aae4aa6p0Ni1m&sku_id=66923190373","Aliexpress"
